numThread, blockSize, gridSize, avgTime, Memory
1,1,1,93.0027,23.724
2,1,2,46.9683,23.724
4,1,4,24.1953,23.724
8,1,8,12.6407,23.724
16,1,16,6.86167,23.724
32,1,32,3.95233,23.724
64,1,64,2.53767,23.724
128,1,128,1.81467,23.724
256,1,256,1.81967,23.724
512,1,512,1.639,23.724
1024,1,1024,1.53667,23.724
2048,1,2048,1.48833,23.724
2,2,1,47.9767,23.724
4,2,2,24.4903,23.724
8,2,4,12.8917,23.724
16,2,8,6.97833,23.724
32,2,16,4.01967,23.724
64,2,32,2.54367,23.724
128,2,64,1.82833,23.724
256,2,128,1.451,23.724
512,2,256,1.43933,23.724
1024,2,512,1.344,23.724
2048,2,1024,1.29733,23.724
4096,2,2048,1.28833,23.724
4,4,1,25.2263,23.724
8,4,2,13.15,23.724
16,4,4,7.17267,23.724
32,4,8,4.11633,23.724
64,4,16,2.582,23.724
128,4,32,1.828,23.724
256,4,64,1.44867,23.724
512,4,128,1.254,23.724
1024,4,256,1.251,23.724
2048,4,512,1.202,23.724
4096,4,1024,1.17333,23.724
8192,4,2048,1.17333,23.724
8,8,1,13.502,23.724
16,8,2,7.27967,23.724
32,8,4,4.207,23.724
64,8,8,2.62967,23.724
128,8,16,1.83967,23.724
256,8,32,1.44767,23.724
512,8,64,1.254,23.724
1024,8,128,1.16533,23.724
2048,8,256,1.14967,23.724
4096,8,512,1.127,23.724
8192,8,1024,1.12567,23.724
16384,8,2048,1.12333,23.724
16,16,1,7.93033,23.724
32,16,2,4.443,23.724
64,16,4,2.77067,23.724
128,16,8,1.93467,23.724
256,16,16,1.49933,23.724
512,16,32,1.29533,23.724
1024,16,64,1.178,23.724
2048,16,128,1.111,23.724
4096,16,256,1.10533,23.724
8192,16,512,1.09167,23.724
16384,16,1024,1.08633,23.724
32768,16,2048,1.09133,23.724
32,32,1,4.908,23.724
64,32,2,3.00933,23.724
128,32,4,2.031,23.724
256,32,8,1.54967,23.724
512,32,16,1.29167,23.724
1024,32,32,1.17267,23.724
2048,32,64,1.12333,23.724
4096,32,128,1.09767,23.724
8192,32,256,1.09733,23.724
16384,32,512,1.07133,23.724
32768,32,1024,1.08767,23.724
65536,32,2048,1.077,23.724
64,64,1,2.98633,23.724
128,64,2,2.033,23.724
256,64,4,1.55367,23.724
512,64,8,1.29267,23.724
1024,64,16,1.182,23.724
2048,64,32,1.122,23.724
4096,64,64,1.09133,23.724
8192,64,128,1.07733,23.724
16384,64,256,1.07267,23.724
32768,64,512,1.074,23.724
65536,64,1024,1.07767,23.724
131072,64,2048,1.075,23.724
128,128,1,2.02567,23.724
256,128,2,1.56,23.724
512,128,4,1.306,23.724
1024,128,8,1.17533,23.724
2048,128,16,1.11467,23.724
4096,128,32,1.10267,23.724
8192,128,64,1.07567,23.724
16384,128,128,1.082,23.724
32768,128,256,1.07467,23.724
65536,128,512,1.06333,23.724
131072,128,1024,1.07633,23.724
256,256,1,1.56833,23.724
512,256,2,1.31467,23.724
1024,256,4,1.18267,23.724
2048,256,8,1.14033,23.724
4096,256,16,1.09833,23.724
8192,256,32,1.089,23.724
16384,256,64,1.07667,23.724
32768,256,128,1.073,23.724
65536,256,256,1.084,23.724
131072,256,512,1.075,23.724
512,512,1,1.33333,23.724
1024,512,2,1.202,23.724
2048,512,4,1.13833,23.724
4096,512,8,1.107,23.724
8192,512,16,1.07833,23.724
16384,512,32,1.08167,23.724
32768,512,64,1.07567,23.724
65536,512,128,1.068,23.724
131072,512,256,1.08267,23.724
1024,1024,1,1.266,23.724
2048,1024,2,1.15867,23.724
4096,1024,4,1.11467,23.724
8192,1024,8,1.10133,23.724
16384,1024,16,1.095,23.724
32768,1024,32,1.088,23.724
65536,1024,64,1.09133,23.724
131072,1024,128,1.069,23.724
2048,2048,1,1.07233,23.724
4096,2048,2,1.06567,23.724
8192,2048,4,1.06767,23.724
16384,2048,8,1.05967,23.724
32768,2048,16,1.051,23.724
65536,2048,32,1.069,23.724
131072,2048,64,1.06833,23.724
