numThread, blockSize, gridSize, avgTime, Memory
1,1,1,966.078,27.0008
2,1,2,485.236,27.0008
4,1,4,244.94,27.0008
8,1,8,123.416,27.0008
16,1,16,62.8233,27.0008
32,1,32,32.402,27.0008
64,1,64,18.0727,27.0008
128,1,128,10.8353,27.0008
256,1,256,10.92,27.0008
512,1,512,9.217,27.0008
1024,1,1024,8.09433,27.0008
2048,1,2048,7.49,27.0008
2,2,1,491.322,27.0008
4,2,2,246.549,27.0008
8,2,4,125.155,27.0008
16,2,8,63.6057,27.0008
32,2,16,32.8467,27.0008
64,2,32,17.4107,27.0008
128,2,64,10.1757,27.0008
256,2,128,6.467,27.0008
512,2,256,6.50533,27.0008
1024,2,512,5.608,27.0008
2048,2,1024,5.044,27.0008
4096,2,2048,4.806,27.0008
4,4,1,255.452,27.0008
8,4,2,128.862,27.0008
16,4,4,65.936,27.0008
32,4,8,33.88,27.0008
64,4,16,17.9657,27.0008
128,4,32,10.0217,27.0008
256,4,64,6.223,27.0008
512,4,128,4.31267,27.0008
1024,4,256,4.303,27.0008
2048,4,512,3.76533,27.0008
4096,4,1024,3.57967,27.0008
8192,4,2048,3.43167,27.0008
8,8,1,131.09,27.0008
16,8,2,66.6263,27.0008
32,8,4,34.6203,27.0008
64,8,8,18.5077,27.0008
128,8,16,10.2727,27.0008
256,8,32,6.17933,27.0008
512,8,64,4.17767,27.0008
1024,8,128,3.16367,27.0008
2048,8,256,3.19267,27.0008
4096,8,512,2.91367,27.0008
8192,8,1024,2.787,27.0008
16384,8,2048,2.735,27.0008
16,16,1,67.761,27.0008
32,16,2,34.9347,27.0008
64,16,4,18.8327,27.0008
128,16,8,10.4,27.0008
256,16,16,6.25033,27.0008
512,16,32,4.18933,27.0008
1024,16,64,3.117,27.0008
2048,16,128,2.586,27.0008
4096,16,256,2.61433,27.0008
8192,16,512,2.45933,27.0008
16384,16,1024,2.39667,27.0008
32768,16,2048,2.37233,27.0008
32,32,1,36.008,27.0008
64,32,2,19.098,27.0008
128,32,4,10.634,27.0008
256,32,8,6.351,27.0008
512,32,16,4.21867,27.0008
1024,32,32,3.13067,27.0008
2048,32,64,2.562,27.0008
4096,32,128,2.306,27.0008
8192,32,256,2.31567,27.0008
16384,32,512,2.23367,27.0008
32768,32,1024,2.203,27.0008
65536,32,2048,2.19,27.0008
64,64,1,19.1093,27.0008
128,64,2,10.5847,27.0008
256,64,4,6.381,27.0008
512,64,8,4.22933,27.0008
1024,64,16,3.12433,27.0008
2048,64,32,2.56433,27.0008
4096,64,64,2.319,27.0008
8192,64,128,2.18867,27.0008
16384,64,256,2.181,27.0008
32768,64,512,2.16,27.0008
65536,64,1024,2.15033,27.0008
131072,64,2048,2.14333,27.0008
128,128,1,10.5697,27.0008
256,128,2,6.34667,27.0008
512,128,4,4.244,27.0008
1024,128,8,3.127,27.0008
2048,128,16,2.568,27.0008
4096,128,32,2.29967,27.0008
8192,128,64,2.196,27.0008
16384,128,128,2.17567,27.0008
32768,128,256,2.157,27.0008
65536,128,512,2.142,27.0008
131072,128,1024,2.13733,27.0008
256,256,1,6.64833,27.0008
512,256,2,4.37567,27.0008
1024,256,4,3.20833,27.0008
2048,256,8,2.63267,27.0008
4096,256,16,2.335,27.0008
8192,256,32,2.22067,27.0008
16384,256,64,2.16933,27.0008
32768,256,128,2.153,27.0008
65536,256,256,2.14967,27.0008
131072,256,512,2.14167,27.0008
512,512,1,4.72267,27.0008
1024,512,2,3.37367,27.0008
2048,512,4,2.70233,27.0008
4096,512,8,2.34833,27.0008
8192,512,16,2.27733,27.0008
16384,512,32,2.191,27.0008
32768,512,64,2.16533,27.0008
65536,512,128,2.14233,27.0008
131072,512,256,2.152,27.0008
1024,1024,1,3.95033,27.0008
2048,1024,2,3.00133,27.0008
4096,1024,4,2.50767,27.0008
8192,1024,8,2.25467,27.0008
16384,1024,16,2.248,27.0008
32768,1024,32,2.201,27.0008
65536,1024,64,2.16233,27.0008
131072,1024,128,2.16,27.0008
2048,2048,1,2.11967,27.0008
4096,2048,2,2.11367,27.0008
8192,2048,4,2.113,27.0008
16384,2048,8,2.11033,27.0008
32768,2048,16,2.10733,27.0008
65536,2048,32,2.11833,27.0008
131072,2048,64,2.12233,27.0008
